Brand,Price,Horsepower,Fuel Efficiency,Encoded Brand,scaled horsepower,scaled fuel efficiency,scaled brand,Performance Index
Brand A,82777,355,15.7,4,0.6375,0.228,0.375,0.003058941
Brand Z,43083,492,15.4,7,0.98,0.216,0.75,0.008101107
Brand B,68453,269,27.9,5,0.4225,0.716,0.5,0.002873066
Brand W,97086,212,28.3,1,0.28,0.732,0,0.00161599
Brand E,72710,415,16.8,2,0.7875,0.272,0.125,0.00406464
Brand D,44418,114,13.1,9,0.035,0.124,1,0.001885047
Brand E,65011,365,18.1,2,0.6625,0.324,0.125,0.004013628
Brand X,35728,210,10.2,8,0.275,0.008,0.875,0.004200067
Brand A,97112,120,28.8,4,0.05,0.752,0.375,0.00095395
Brand A,30966,460,14.9,4,0.9,0.196,0.375,0.010542853
Brand D,69120,388,23.7,9,0.72,0.548,1,0.004032263
Brand W,78356,332,13.1,1,0.58,0.124,0,0.003016106
Brand Z,89383,358,31.3,7,0.645,0.852,0.75,0.002908719
Brand Y,85126,351,18.6,3,0.6275,0.344,0.25,0.00295186
Brand W,68061,302,31.2,1,0.505,0.848,0,0.003243561
Brand A,98658,229,30.5,4,0.3225,0.82,0.375,0.00171755
Brand C,78253,283,13.2,6,0.4575,0.128,0.625,0.002582137
Brand E,57433,184,16,2,0.21,0.24,0.125,0.002326189
Brand A,36356,352,29.9,4,0.63,0.796,0.375,0.00702415
Brand E,47997,188,21.4,2,0.22,0.456,0.125,0.002875596
Brand X,39385,158,24.7,8,0.145,0.588,0.875,0.002996318
Brand Z,72502,407,14.6,7,0.7675,0.184,0.75,0.003989959
Brand Z,97285,433,33.5,7,0.8325,0.94,0.75,0.003218893
Brand C,81601,486,21,6,0.965,0.44,0.625,0.004246271
Brand A,54311,405,11,4,0.7625,0.04,0.375,0.005280698
Brand Y,86281,240,25.6,3,0.35,0.624,0.25,0.002036138
Brand B,32181,174,16.2,5,0.185,0.248,0.5,0.003935863
Brand W,80820,191,34.4,1,0.2275,0.976,0,0.001781985
Brand E,88923,282,25.7,2,0.455,0.628,0.125,0.002306602
Brand E,54287,466,31.6,2,0.915,0.864,0.125,0.006183432
Brand X,53305,332,28.8,8,0.58,0.752,0.875,0.004521902
Brand E,70316,400,24.2,2,0.75,0.568,0.125,0.004085272
Brand X,79932,484,32.4,8,0.96,0.896,0.875,0.004360206
Brand B,36721,243,17.5,5,0.3575,0.3,0.5,0.004775197
Brand A,70291,313,28.7,4,0.5325,0.748,0.375,0.003239533
Brand Y,51648,361,15.5,3,0.6525,0.22,0.25,0.004982768
Brand B,40322,447,30.5,5,0.8675,0.82,0.5,0.007986955
Brand B,97085,291,15.1,5,0.4775,0.204,0.5,0.002144822
Brand E,71480,138,32.6,2,0.095,0.904,0.125,0.001488248
Brand Z,84560,240,12,7,0.35,0.08,0.75,0.002029328
Brand D,99756,108,30.8,9,0.02,0.832,1,0.000850475
Brand D,30449,173,19,9,0.1825,0.36,1,0.00416434
Brand W,41717,264,17.6,1,0.41,0.304,0,0.004556416
Brand D,85108,103,19.5,9,0.0075,0.38,1,0.000915895
Brand A,65734,115,31.1,4,0.0375,0.844,0.375,0.001366568
Brand D,31972,287,27.9,9,0.4675,0.716,1,0.006545415
Brand E,59327,465,12.3,2,0.9125,0.092,0.125,0.005548738
Brand C,79904,452,27.3,6,0.88,0.692,0.625,0.00406225
Brand B,89342,246,24.2,5,0.365,0.568,0.5,0.002008686
Brand B,78900,315,29.1,5,0.5375,0.764,0.5,0.002905323
Brand W,69039,240,34.3,1,0.35,0.972,0,0.002582453
Brand Y,37459,233,21.6,3,0.3325,0.464,0.25,0.004527083
Brand Z,70262,421,32.7,7,0.8025,0.908,0.75,0.004333922
Brand X,96710,234,12.7,8,0.335,0.108,0.875,0.00173312
Brand B,34371,348,12.3,5,0.62,0.092,0.5,0.007194728
Brand W,73970,430,22.2,1,0.825,0.488,0,0.004159254
Brand A,64160,281,12.5,4,0.4525,0.1,0.375,0.003124221
Brand W,82435,329,31.4,1,0.5725,0.856,0,0.002907988
Brand X,79441,320,34.2,8,0.55,0.968,0.875,0.002948855
Brand C,55354,148,28.5,6,0.12,0.74,0.625,0.002026051
Brand Y,94471,387,30.3,3,0.7175,0.812,0.25,0.002963767
Brand A,31787,457,31.7,4,0.8925,0.868,0.375,0.010363041
Brand C,96356,488,30.8,6,0.97,0.832,0.625,0.003641081
Brand D,58965,444,28,9,0.86,0.72,1,0.005413381
Brand Y,63871,338,27.5,3,0.595,0.7,0.25,0.003833508
Brand B,74234,343,17.7,5,0.6075,0.308,0.5,0.003305898
Brand E,97545,492,32,2,0.98,0.88,0.125,0.003629094
Brand A,57753,100,23,4,0,0.52,0.375,0.001331533
Brand B,37127,243,18.1,5,0.3575,0.324,0.5,0.004727826
Brand A,40818,392,13.1,4,0.73,0.124,0.375,0.006818805
Brand W,50428,178,25.7,1,0.195,0.628,0,0.002623741
Brand W,48699,389,32.2,1,0.7225,0.888,0,0.005789852
Brand W,60822,222,22.3,1,0.305,0.492,0,0.00266499
Brand Z,93744,471,10.8,7,0.9275,0.032,0.75,0.003551587
Brand E,72794,329,21.2,2,0.5725,0.448,0.125,0.003251092
Brand Z,70469,267,12.5,7,0.4175,0.1,0.75,0.002705445
Brand W,47494,153,31.3,1,0.1325,0.852,0,0.002452731
Brand B,77727,391,31.7,5,0.7275,0.868,0.5,0.00364365
Brand B,32011,269,27.5,5,0.4225,0.7,0.5,0.006140077
Brand E,53076,339,21,2,0.5975,0.44,0.125,0.004589645
Brand E,57137,174,26.3,2,0.185,0.652,0.125,0.002269808
Brand X,79919,497,23.7,8,0.9925,0.548,0.875,0.004442123
Brand A,59765,349,10.6,4,0.6225,0.024,0.375,0.004140885
Brand Z,82327,460,31.7,7,0.9,0.868,0.75,0.004026747
Brand Y,32428,140,18.1,3,0.1,0.324,0.25,0.003189528
Brand Z,95232,456,19.7,7,0.89,0.388,0.75,0.003413873
Brand Z,99221,300,23.6,7,0.5,0.544,0.75,0.002187843
Brand B,60567,384,24.1,5,0.71,0.564,0.5,0.004557432
Brand Z,95262,377,13.2,7,0.6925,0.128,0.75,0.002811824
Brand C,77543,135,13.1,6,0.0875,0.124,0.625,0.00126936
Brand B,70897,144,20.8,5,0.11,0.432,0.5,0.001509796
Brand D,97339,222,17.1,9,0.305,0.284,1,0.001649185
Brand Z,33000,434,20.2,7,0.835,0.408,0.75,0.009389697
Brand Z,57792,355,34.2,7,0.6375,0.968,0.75,0.004477436
Brand E,32552,375,16.5,2,0.6875,0.26,0.125,0.008216085
Brand A,84781,129,34.8,4,0.0725,0.992,0.375,0.001188238
Brand A,81315,120,14,4,0.05,0.16,0.375,0.001084671
Brand X,39545,105,32,8,0.0125,0.88,0.875,0.002101403
Brand Z,33802,266,13,7,0.415,0.12,0.75,0.005623928
Brand A,34077,434,31.4,4,0.835,0.856,0.375,0.009191537
Brand Y,43168,124,18.1,3,0.06,0.324,0.25,0.002136536
Brand Z,63558,125,10.4,7,0.0625,0.016,0.75,0.001425784
Brand C,94960,103,34.3,6,0.0075,0.972,0.625,0.000867628
Brand B,99784,260,29.8,5,0.4,0.792,0.5,0.001913533
Brand A,81706,127,13.2,4,0.0675,0.128,0.375,0.001136514
Brand X,75873,360,25.4,8,0.65,0.616,0.875,0.003421771
Brand W,64001,491,16.5,1,0.9775,0.26,0,0.005447571
Brand B,32452,451,21.6,5,0.8775,0.464,0.5,0.009927894
Brand Y,75204,275,13.8,3,0.4375,0.152,0.25,0.002614755
Brand Z,88487,443,28.3,7,0.8575,0.732,0.75,0.003600416
Brand B,41943,148,19,5,0.12,0.36,0.5,0.002605918
Brand X,42452,168,16,8,0.17,0.24,0.875,0.002883256
Brand Z,35922,278,32.1,7,0.445,0.884,0.75,0.005685374
Brand W,90640,283,21.9,1,0.4575,0.476,0,0.002258054
Brand Z,86360,288,14.4,7,0.47,0.176,0.75,0.002384437
Brand D,41152,338,33.3,9,0.595,0.932,1,0.005992175
Brand A,55236,304,33,4,0.51,0.92,0.375,0.004031791
Brand W,69453,447,23.4,1,0.8675,0.536,0,0.004606281
Brand B,66891,471,22.5,5,0.9275,0.5,0.5,0.005029825
Brand B,35648,145,27.9,5,0.1125,0.716,0.5,0.00308208
Brand E,36964,122,20.5,2,0.055,0.42,0.125,0.002476734
Brand Y,86957,344,17,3,0.61,0.28,0.25,0.002827834
Brand E,84514,415,18.4,2,0.7875,0.336,0.125,0.003502615
Brand B,44723,463,18,5,0.9075,0.32,0.5,0.007367574
Brand E,50497,464,17.8,2,0.91,0.312,0.125,0.006537814
Brand E,73522,381,29.5,2,0.7025,0.78,0.125,0.003747858
Brand A,32849,414,17.5,4,0.785,0.3,0.375,0.008982009
Brand D,36967,177,16.5,9,0.1925,0.26,1,0.003485541
Brand C,30521,109,28.1,6,0.0225,0.724,0.625,0.002776121
Brand A,55213,152,20.7,4,0.13,0.428,0.375,0.002039556
Brand E,60306,438,23.3,2,0.845,0.532,0.125,0.00519998
Brand E,60721,424,18.1,2,0.81,0.324,0.125,0.004977355
Brand X,67258,377,19.1,8,0.6925,0.364,0.875,0.004008891
Brand X,93568,378,11.9,8,0.695,0.076,0.875,0.002866044
Brand B,76266,234,24.5,5,0.335,0.58,0.5,0.002244119
Brand C,89502,368,21.5,6,0.67,0.46,0.625,0.002950213
Brand Z,70955,374,12.2,7,0.685,0.088,0.75,0.003741244
Brand Y,54742,452,28.3,3,0.88,0.732,0.25,0.005934931
Brand B,32101,188,15.5,5,0.22,0.22,0.5,0.004244416
Brand W,47254,247,18.9,1,0.3675,0.356,0,0.003778939
Brand B,47564,435,19.6,5,0.8375,0.384,0.5,0.006525524
Brand A,67689,415,30.7,4,0.7875,0.828,0.375,0.00442775
Brand A,39724,117,34.8,4,0.0425,0.992,0.375,0.002324539
Brand Z,46365,469,33.8,7,0.9225,0.952,0.75,0.007299472
Brand W,45498,337,21.7,1,0.5925,0.468,0,0.005327927
Brand B,73511,112,27.2,5,0.03,0.688,0.5,0.001177511
Brand C,78036,373,23.2,6,0.6825,0.528,0.625,0.003435081
Brand A,40401,345,12,4,0.6125,0.08,0.375,0.006066682
Brand Y,43096,213,23.7,3,0.2825,0.548,0.25,0.003624698
Brand D,87749,304,11.8,9,0.51,0.072,1,0.002465441
Brand B,36847,162,21.5,5,0.155,0.46,0.5,0.003252639
Brand D,37290,139,14.7,9,0.0975,0.188,1,0.002727541
Brand D,93406,111,20,9,0.0275,0.4,1,0.000896088
Brand B,43550,290,17.7,5,0.475,0.308,0.5,0.004783238
Brand E,72225,303,28,2,0.5075,0.72,0.125,0.00305296
Brand Y,54882,256,28.1,3,0.39,0.724,0.25,0.003418789
Brand Y,73743,371,32.6,3,0.6775,0.904,0.25,0.003654313
Brand Y,67346,351,30.7,3,0.6275,0.828,0.25,0.00378508
Brand W,45059,361,34.7,1,0.6525,0.988,0,0.005839233
Brand Z,77769,323,31.6,7,0.5575,0.864,0.75,0.003029228
Brand A,92917,279,17.4,4,0.4475,0.296,0.375,0.002158055
Brand X,72180,369,10.4,8,0.6725,0.016,0.875,0.003621779
Brand C,41089,280,31.3,6,0.45,0.852,0.625,0.004998661
Brand Y,50222,382,25.3,3,0.705,0.612,0.25,0.005475489
Brand Y,83993,394,30.4,3,0.735,0.816,0.25,0.003392187
Brand E,97430,163,18,2,0.1575,0.32,0.125,0.001226522
Brand E,46556,123,11.7,2,0.0575,0.068,0.125,0.001924779
Brand Z,80546,368,24.8,7,0.67,0.592,0.75,0.003290542
Brand X,78517,173,24.9,8,0.1825,0.596,0.875,0.00163748
Brand Y,78960,267,26.6,3,0.4175,0.664,0.25,0.002468085
Brand W,67976,371,28.6,1,0.6775,0.744,0,0.003946687
Brand X,53211,487,34.1,8,0.9675,0.964,0.875,0.006598824
Brand W,67290,434,22.9,1,0.835,0.516,0,0.004616882
Brand D,48151,447,29.8,9,0.8675,0.792,1,0.006683973
Brand D,85223,468,28.7,9,0.92,0.748,1,0.003945062
Brand D,52307,192,20.1,9,0.23,0.404,1,0.002684727
Brand Z,85787,137,23.3,7,0.0925,0.532,0.75,0.001199366
Brand X,54287,390,25.4,8,0.725,0.616,0.875,0.005169193
Brand D,89732,275,15.8,9,0.4375,0.232,1,0.002198101
Brand A,90325,429,17.6,4,0.8225,0.304,0.375,0.003383117
Brand C,74855,337,32.4,6,0.5925,0.896,0.625,0.003281277
Brand A,30090,435,13.8,4,0.8375,0.152,0.375,0.010257228
Brand Y,64981,211,28.2,3,0.2775,0.728,0.25,0.002403164
Brand C,63824,275,22.3,6,0.4375,0.492,0.625,0.003120926
Brand A,44971,308,11.2,4,0.52,0.048,0.375,0.004868916
Brand E,62571,407,27.4,2,0.7675,0.696,0.125,0.004684598
Brand B,59983,378,25.3,5,0.695,0.612,0.5,0.004537786
Brand D,68762,128,21.5,9,0.07,0.46,1,0.001396847
Brand X,60641,147,19.8,8,0.1175,0.392,0.875,0.001794825
Brand W,40972,229,24.5,1,0.3225,0.58,0,0.004091819
Brand E,69580,477,17.2,2,0.9425,0.288,0.125,0.004872952
Brand X,41523,187,17.9,8,0.2175,0.316,0.875,0.003281796
Brand X,30347,142,19.9,8,0.105,0.396,0.875,0.003472172
Brand Z,57295,460,12.4,7,0.9,0.096,0.75,0.005684964
Brand C,80857,297,10.2,6,0.4925,0.008,0.625,0.002609051
Brand W,58462,165,16.2,1,0.1625,0.248,0,0.002058773
Brand Y,68859,201,27.7,3,0.2525,0.708,0.25,0.002163987
Brand Y,34915,221,31.5,3,0.3025,0.86,0.25,0.004701418
Brand E,58242,490,31,2,0.975,0.84,0.125,0.006048899
Brand C,44731,467,24.3,6,0.9175,0.572,0.625,0.007471105
Brand A,66182,435,32.6,4,0.8375,0.904,0.375,0.004748723
Brand C,44513,347,29.5,6,0.6175,0.78,0.625,0.005655651
Brand W,50482,238,29.3,1,0.345,0.772,0,0.003474308
Brand B,32252,192,12,5,0.23,0.08,0.5,0.004278804
Brand E,51441,478,25.9,2,0.945,0.636,0.125,0.006655586
Brand Z,98312,353,25.8,7,0.6325,0.632,0.75,0.002592156
Brand D,58418,319,34.1,9,0.5475,0.964,1,0.003997569
Brand B,63887,257,20.1,5,0.3925,0.404,0.5,0.002910295
Brand Y,66058,447,34.2,3,0.8675,0.968,0.25,0.004892065
Brand C,56175,273,17.9,6,0.4325,0.316,0.625,0.003497463
Brand B,64364,248,26.1,5,0.37,0.644,0.5,0.002818812
Brand E,98484,120,23.8,2,0.05,0.552,0.125,0.00092543
Brand Z,85805,397,18.3,7,0.7425,0.332,0.75,0.003302721
Brand W,77263,475,19.5,1,0.9375,0.38,0,0.004379198
Brand E,75082,285,18.1,2,0.4625,0.324,0.125,0.002729416
Brand D,74876,478,12.6,9,0.945,0.104,1,0.004519205
Brand Y,91043,257,22.6,3,0.3925,0.504,0.25,0.00205046
Brand X,89001,490,16.9,8,0.975,0.276,0.875,0.003910855
Brand E,95169,249,20.1,2,0.3725,0.404,0.125,0.00189484
Brand X,48320,228,25.8,8,0.32,0.632,0.875,0.003463162
Brand Z,47777,256,17.6,7,0.39,0.304,0.75,0.003861272
Brand D,80496,491,13.5,9,0.9775,0.14,1,0.00432009
Brand B,79038,109,14.2,5,0.0225,0.168,0.5,0.001019257
Brand B,79321,453,23.6,5,0.8825,0.544,0.5,0.004086938
Brand B,70254,169,14,5,0.1725,0.16,0.5,0.001743673
Brand X,30645,187,10.3,8,0.2175,0.012,0.875,0.004372328
Brand Z,51975,437,21.7,7,0.8425,0.468,0.75,0.006010774
Brand Y,59000,455,24.7,3,0.8875,0.588,0.25,0.005523898
Brand C,87654,349,27,6,0.6225,0.68,0.625,0.002879504
Brand B,57574,280,17.8,5,0.45,0.312,0.5,0.003497065
Brand C,44024,288,31.6,6,0.47,0.864,0.625,0.004794657
Brand X,62101,123,16.4,8,0.0575,0.256,0.875,0.001465677
Brand X,79049,400,28.2,8,0.75,0.728,0.875,0.003649129
Brand B,87963,443,18.8,5,0.8575,0.352,0.5,0.003589464
Brand B,38513,310,21,5,0.525,0.44,0.5,0.005798042
Brand D,44279,146,13.8,9,0.115,0.152,1,0.00240159
Brand B,77293,286,22.6,5,0.465,0.504,0.5,0.002677862
Brand Y,76414,213,16.5,3,0.2825,0.26,0.25,0.002015992
Brand A,54273,483,17.3,4,0.9575,0.292,0.375,0.006325245
Brand Z,51524,150,15.8,7,0.125,0.232,0.75,0.002129881
Brand X,49493,262,31.7,8,0.405,0.868,0.875,0.003897723
Brand E,48347,313,10.9,2,0.5325,0.036,0.125,0.004599458
Brand A,52987,399,20.2,4,0.7475,0.408,0.375,0.005385472
Brand Z,62644,407,11.6,7,0.7675,0.064,0.75,0.004603474
Brand W,74030,166,28.7,1,0.165,0.748,0,0.001685938
Brand W,40760,292,27.1,1,0.48,0.684,0,0.005214181
Brand E,55029,166,16.6,2,0.165,0.264,0.125,0.002202112
Brand Z,34327,444,27.1,7,0.86,0.684,0.75,0.009290937
Brand Z,49598,442,23.9,7,0.855,0.556,0.75,0.006382717
Brand B,74319,189,26.2,5,0.2225,0.648,0.5,0.001885924
Brand B,40826,465,19.1,5,0.9125,0.364,0.5,0.008113212
Brand Y,66794,458,23,3,0.895,0.52,0.25,0.004903135
Brand W,86276,187,21.1,1,0.2175,0.444,0,0.001590593
Brand X,89180,157,13.6,8,0.1425,0.144,0.875,0.001278089
Brand A,54715,106,27.1,4,0.015,0.684,0.375,0.001504706
Brand X,80491,286,29.7,8,0.465,0.788,0.875,0.00259793
Brand X,84485,160,32.8,8,0.15,0.912,0.875,0.001442149
Brand D,88371,133,25,9,0.0825,0.6,1,0.001138383
Brand W,87082,152,31.9,1,0.13,0.876,0,0.001331733
Brand D,42281,108,12.8,9,0.02,0.112,1,0.001878858
Brand A,86705,378,31.3,4,0.695,0.852,0.375,0.003160025
Brand D,93995,224,17.8,9,0.31,0.312,1,0.001724985
Brand X,47038,167,21.9,8,0.1675,0.476,0.875,0.002624899
Brand B,58686,451,27.9,5,0.8775,0.716,0.5,0.005522101
Brand W,63962,293,27.2,1,0.4825,0.688,0,0.003334167
Brand Z,91745,347,17.4,7,0.6175,0.296,0.75,0.002704453
Brand A,98726,121,13.7,4,0.0525,0.148,0.375,0.00089956
Brand D,64972,190,27.1,9,0.225,0.684,1,0.002172166
Brand E,45348,366,15.8,2,0.665,0.232,0.125,0.005754168
Brand D,59673,296,24.5,9,0.49,0.58,1,0.003595428
Brand Y,91802,129,34.7,3,0.0725,0.988,0.25,0.001097035
Brand X,33792,455,18.4,8,0.8875,0.336,0.875,0.00958866
Brand D,65670,422,18.6,9,0.805,0.344,1,0.004583219
Brand A,93494,224,29.4,4,0.31,0.776,0.375,0.001771451
Brand X,85490,260,26,8,0.4,0.64,0.875,0.002220143
Brand X,45853,281,14.4,8,0.4525,0.176,0.875,0.00438401
Brand X,35335,225,19.5,8,0.3125,0.38,0.875,0.004622895
Brand X,38615,214,18.8,8,0.285,0.352,0.875,0.004025379
Brand D,85557,148,25.3,9,0.12,0.612,1,0.001299601
Brand D,38071,393,21.7,9,0.7325,0.468,1,0.007396969
Brand C,63969,383,28.5,6,0.7075,0.74,0.625,0.004324751
Brand D,85899,368,19.3,9,0.67,0.372,1,0.003066276
Brand D,95567,243,10.9,9,0.3575,0.036,1,0.00181412
Brand W,56142,111,18.5,1,0.0275,0.34,0,0.001482847
Brand X,61479,303,20.2,8,0.5075,0.408,0.875,0.003548529
Brand W,83913,481,14.3,1,0.9525,0.172,0,0.004063614
Brand C,94878,385,24.8,6,0.7125,0.592,0.625,0.002918906
Brand Y,47974,326,25.6,3,0.565,0.624,0.25,0.00491683
Brand B,88341,386,22.7,5,0.715,0.508,0.5,0.00313569
Brand Z,88076,262,31.1,7,0.405,0.844,0.75,0.002188224
Brand A,56211,491,23.8,4,0.9775,0.552,0.375,0.006241483
Brand Z,33770,424,16.8,7,0.81,0.272,0.75,0.008938111
Brand B,95072,428,14.9,5,0.82,0.196,0.5,0.003198313
Brand B,55218,210,12,5,0.275,0.08,0.5,0.002727372
Brand E,80757,287,20,2,0.4675,0.4,0.125,0.002562007
Brand C,40868,424,18.4,6,0.81,0.336,0.625,0.007397475
Brand W,39076,115,21.1,1,0.0375,0.444,0,0.00222208
Brand B,68492,366,13.8,5,0.665,0.152,0.5,0.003801028
Brand W,64573,272,34.7,1,0.43,0.988,0,0.003109814
Brand Y,79106,273,26.8,3,0.4325,0.672,0.25,0.002517382
Brand D,77961,434,33.6,9,0.835,0.944,1,0.004026116
Brand B,90016,224,15.5,5,0.31,0.22,0.5,0.00179357
Brand E,99223,306,22.5,2,0.515,0.5,0.125,0.002226802
Brand W,95762,348,23.1,1,0.62,0.524,0,0.002616173
Brand B,94580,123,22.8,5,0.0575,0.512,0.5,0.00098266
Brand E,87524,148,28.7,2,0.12,0.748,0.125,0.001282048
Brand E,62225,114,19.7,2,0.035,0.388,0.125,0.001377421
Brand E,83070,364,25.3,2,0.66,0.612,0.125,0.003158661
Brand Y,42240,496,21.8,3,0.99,0.472,0.25,0.008374527
Brand W,49308,165,18.2,1,0.1625,0.328,0,0.002453152
Brand W,69518,477,32.5,1,0.9425,0.9,0,0.004943324
Brand Y,48078,143,15.9,3,0.1075,0.236,0.25,0.002181247
Brand D,51264,408,22.7,9,0.77,0.508,1,0.005704003
Brand Y,45915,255,32.1,3,0.3875,0.884,0.25,0.004097354
Brand E,56686,336,29.6,2,0.59,0.784,0.125,0.004305825
Brand C,39249,487,21,6,0.9675,0.44,0.625,0.008846085
Brand X,76248,157,16,8,0.1425,0.24,0.875,0.001504302
Brand B,82791,272,25.9,5,0.43,0.636,0.5,0.002393618
Brand Z,65247,383,12.7,7,0.7075,0.108,0.75,0.004167395
Brand Y,68475,296,30.2,3,0.49,0.808,0.25,0.003158233
Brand Y,33452,426,29.7,3,0.815,0.788,0.25,0.009180617
Brand C,71578,409,27.8,6,0.7725,0.712,0.625,0.004116349
Brand B,55363,356,20.3,5,0.64,0.412,0.5,0.004611202
Brand D,31167,271,29.9,9,0.4275,0.796,1,0.00637437
Brand D,40190,300,12.5,9,0.5,0.1,1,0.005318487
Brand X,72960,447,17.3,8,0.8675,0.292,0.875,0.004359786
Brand Z,63076,345,24.7,7,0.6125,0.588,0.75,0.003946192
Brand W,31071,267,32.7,1,0.4175,0.908,0,0.006330984
Brand B,90667,438,15.1,5,0.845,0.204,0.5,0.003431568
Brand B,69421,306,31.7,5,0.515,0.868,0.5,0.003222512
Brand E,85689,122,34.8,2,0.055,0.992,0.125,0.001118463
Brand W,38951,204,28.6,1,0.26,0.744,0,0.003886421
Brand A,75168,280,32.8,4,0.45,0.912,0.375,0.002738399
Brand W,47705,437,19.2,1,0.8425,0.368,0,0.006533068
Brand Z,70207,441,13.9,7,0.8525,0.156,0.75,0.004456393
Brand D,78238,435,27.9,9,0.8375,0.716,1,0.003998952
Brand W,86493,288,17.1,1,0.47,0.284,0,0.002390136
Brand E,63669,307,16.8,2,0.5175,0.272,0.125,0.003454428
Brand X,51501,175,30.9,8,0.1875,0.836,0.875,0.002558591
Brand X,52449,268,13.3,8,0.42,0.132,0.875,0.003652882
Brand Y,84032,420,12.2,3,0.8,0.088,0.25,0.003542222
Brand C,65900,454,20.9,6,0.885,0.436,0.625,0.004917602
Brand X,77860,105,16.9,8,0.0125,0.276,0.875,0.001009119
Brand C,72738,458,22.7,6,0.895,0.508,0.625,0.004501224
Brand C,41374,118,20.5,6,0.045,0.42,0.625,0.002145067
Brand B,71004,493,25.3,5,0.9825,0.612,0.5,0.004967185
Brand X,33498,145,20.9,8,0.1125,0.436,0.875,0.003217207
Brand E,38758,220,32.5,2,0.3,0.9,0.125,0.004224934
Brand A,98592,194,19.9,4,0.235,0.396,0.375,0.001437946
Brand E,72428,339,27.1,2,0.5975,0.684,0.125,0.003388607
Brand E,53987,230,24.8,2,0.325,0.592,0.125,0.00312001
Brand C,66468,143,31.6,6,0.1075,0.864,0.625,0.001648613
Brand E,53762,318,20.8,2,0.545,0.432,0.125,0.004256538
Brand A,37010,403,23.6,4,0.7575,0.544,0.375,0.007813564
Brand X,75489,161,29,8,0.1525,0.76,0.875,0.001608181
Brand X,37266,336,11.1,8,0.59,0.044,0.875,0.006400741
Brand Z,58456,338,13.9,7,0.595,0.156,0.75,0.004118824
Brand E,96799,363,15.1,2,0.6575,0.204,0.125,0.002671825
Brand B,49992,178,29.5,5,0.195,0.78,0.5,0.002669427
Brand E,79817,109,22.3,2,0.0225,0.492,0.125,0.001039753
Brand D,31386,308,28.4,9,0.52,0.736,1,0.007140763
Brand W,44923,284,13.6,1,0.46,0.144,0,0.004516172
Brand C,61647,257,14.3,6,0.3925,0.172,0.625,0.002987818
Brand Y,64603,112,27.7,3,0.03,0.708,0.25,0.001342198
Brand E,85298,130,31.3,2,0.075,0.852,0.125,0.001176933
Brand B,71703,401,21.3,5,0.7525,0.452,0.5,0.004003877
Brand X,72351,319,11.2,8,0.5475,0.048,0.875,0.003132783
Brand X,90461,474,18.9,8,0.935,0.356,0.875,0.003730558
Brand C,31816,460,11.5,6,0.9,0.06,0.625,0.01022913
Brand D,43223,161,29,9,0.1525,0.76,1,0.00280869
Brand D,48673,384,16.7,9,0.71,0.268,1,0.005625501
Brand C,37559,177,29.8,6,0.1925,0.792,0.625,0.003536835
Brand A,53140,232,15.4,4,0.33,0.216,0.375,0.003143018
Brand E,81941,304,30.6,2,0.51,0.824,0.125,0.002709022
Brand E,71591,230,13.1,2,0.325,0.124,0.125,0.002303781
Brand X,48861,196,32.3,8,0.24,0.892,0.875,0.003006283
Brand B,98855,277,22,5,0.4425,0.48,0.5,0.002028223
Brand W,56669,467,17.7,1,0.9175,0.308,0,0.005862288
Brand D,56618,384,10.9,9,0.71,0.036,1,0.004805362
Brand B,45122,482,27.2,5,0.955,0.688,0.5,0.007658348
Brand A,98701,168,29.3,4,0.17,0.772,0.375,0.001280534
Brand E,42689,340,29.5,2,0.6,0.78,0.125,0.00578252
Brand C,33836,279,21.7,6,0.4475,0.468,0.625,0.005964357
Brand Z,43116,423,19.7,7,0.8075,0.388,0.75,0.007004592
Brand A,66389,236,17,4,0.34,0.28,0.375,0.002565184
Brand Y,93138,123,20.9,3,0.0575,0.436,0.25,0.000991754
Brand X,82415,297,34.1,8,0.4925,0.964,0.875,0.002646727
Brand Y,90994,442,22.9,3,0.855,0.516,0.25,0.003475724
Brand B,88512,349,16.3,5,0.6225,0.252,0.5,0.002815324
Brand Y,35988,403,11.9,3,0.7575,0.076,0.25,0.007937924
Brand C,96222,416,11.3,6,0.79,0.052,0.625,0.003061566
Brand X,53530,155,15.2,8,0.1375,0.208,0.875,0.002112087
Brand D,94904,137,26.6,9,0.0925,0.664,1,0.00109458
Brand D,63304,322,21.2,9,0.555,0.448,1,0.003661064
Brand C,94728,132,11.2,6,0.08,0.048,0.625,0.001010894
Brand W,31838,335,10.4,1,0.5875,0.016,0,0.007463409
Brand C,49960,238,10,6,0.345,0,0.625,0.003394716
Brand Y,80114,478,25.7,3,0.945,0.628,0.25,0.004272786
Brand Z,72188,486,28,7,0.965,0.72,0.75,0.004829057
Brand Y,90244,199,17.7,3,0.2475,0.308,0.25,0.001602433
Brand E,30933,156,20.1,2,0.14,0.404,0.125,0.003725148
Brand X,61221,308,27.1,8,0.52,0.684,0.875,0.003654465
Brand C,31652,185,29.5,6,0.2125,0.78,0.625,0.004370972
Brand X,59451,347,16.6,8,0.6175,0.264,0.875,0.004169484
Brand E,70893,419,20.7,2,0.7975,0.428,0.125,0.004224818
Brand E,59197,232,22.7,2,0.33,0.508,0.125,0.002858422
Brand E,42992,396,22.8,2,0.74,0.512,0.125,0.006606811
Brand B,47236,269,32,5,0.4225,0.88,0.5,0.004189601
